id_slug,name,price,currency,availability,rating,review_count,description_snip
23/flatter-me,Flatter Me,27.00,USD,InStock,4.49,2869,Get fast bloat and digestive relief with clinically studied Flatter Me by HUM Nutrition. With a unique blend of digestive enzymes to help achieve a flatter stom
32/raw-beauty,,,,,,,
35/raw-beauty-vanilla-berry,,,,,,,
39/hair-sweet-hair,Hair Strong Gummies,26.00,USD,InStock,4.61,1219,"World&apos;s first clinically studied vegan hair growth gummies for women supports longer, stronger hair with ingredients like biotin, zinc, and fo ti. Grab the"
42/glow-sweet-glow,Hyaluronic Glow Gummies,26.00,USD,InStock,4.57,201,Hyaluronic Glow Gummies is for everyone who wants a sweet treat for their skin and a fresh glow.
48/skin-squad-pre-probiotic,Skin Squad Pre+Probiotic,40.00,USD,InStock,4.71,690,"Skin Squad uses 9 strains of probiotics for clear skin and decreased non-cystic acne. Balance your gut microbiome to support a clear, even complexion. "
50/mighty-night,Mighty Night,40.00,USD,InStock,4.75,693,"Our sleep vitamins combine valerian root for sleep with ingredients to boost nighttime skin cell turnover. Get more deep sleep and wake up refreshed, inside and"
https://www.humnutrition.com/product/51/collagen-pop,FETCH_ERR,HTTP Error 404: Not Found,,,
54/private-party-vaginal-probiotic,Private Party,27.00,USD,InStock,4.72,1892,This probiotic supplement improves vaginal health &amp; vaginal pH balance for a healthy vaginal microbiome. Cranberry PACs make this an ideal cranberry supplem
62/counter-cravings,Counter Cravings,50.00,USD,InStock,4.23,414,"Our metabolism booster supplement helps to stop sugar cravings and maintain healthy blood sugar levels. The blend uses chromium, seaweed extract, and L-theanine"
65/calm-sweet-calm,Ashwagandha Calm Gummies,26.00,USD,InStock,4.58,538,Our vegan stress gummies reduce stress symptoms and support healthy cortisol levels. These l-theanine and ashwagandha gummies improve relaxation and resistance 
66/core-strength,Core Strength,40.00,USD,InStock,4.51,168,Upgrade your smoothies with this vanilla vegan and low-FODMAP protein powder. The non-bloating formula delivers 20 grams of plant protein per serving.
https://www.humnutrition.com/product/73/boost-sweet-boost,FETCH_ERR,HTTP Error 404: Not Found,,,
75/fan-club,Fan Club,40.00,USD,InStock,4.49,978,"Get natural menopause relief with our non-hormonal menopause supplement. Siberian rhubarb, probiotics, and grape seed extract address symptoms of menopause."
https://www.humnutrition.com/product/77/womb-service-prenatal,FETCH_ERR,HTTP Error 404: Not Found,,,
9/skinny-bird,Skinny Bird,40.00,USD,InStock,4.25,588,"Use this supplement to curb your appetite for healthy weight management. Features caralluma to help you feel fuller, longer and 5-HTP for mood."
