product,channel,url,skin_type,acne_prone,tone,undertone,shade,stayed_matte,wear_hours,broke_out,oxidized,would_repurchase,overall,is_sponsored,key_quote
Huda Beauty FauxFilter,OmabelleTV,https://www.youtube.com/watch?v=WREUGPc9xCg,oily,yes,medium,warm,cinnamon,mostly,10,not_mentioned,no,not_mentioned,positive,False,I've had it on for 10 hours and this is all I could produce when it comes to oil... with this one right here I've had it on for 10 hours and this is all I could produce... if you just go in with a blotting powder... you will think I just applied my makeup right now... I'm very very impressed with this foundation
Huda Beauty FauxFilter,Raval Kaur,https://www.youtube.com/watch?v=r7f-GUuyED8,dry with a little oiliness around nose,unknown,medium,warm,toffee (420G),no,3,not_mentioned,yes,not_mentioned,mixed,True,I also feel like because I've eaten this part of the foundation it's kind of worn off like I think it needs a touch-up
Huda Beauty FauxFilter,Ruby Golani,https://www.youtube.com/watch?v=LaP3w-cbHJg,dry,yes,medium,warm,custard 220 N,not_tested,8,not_mentioned,no,not_mentioned,positive,False,I give this foundation a 10 out of 10 because the coverage on this is amazing... It still looks very very flawless... It hasn't really addressed any new textural issues on my skin...
Huda Beauty FauxFilter,Stephanie Alford,https://www.youtube.com/watch?v=NQhdAF_s4AU,"oily, combination",yes,medium,unknown,,mostly,7,not_mentioned,not_mentioned,yes,positive,False,I definitely would say that I would recommend this foundation do not change your entire makeup routine if you have a primer that you are gung-ho about I definitely would stick with it stick with your normal prepping routine and then add this foundation on top of it
Huda Beauty FauxFilter,BiancaReneeToday,https://www.youtube.com/watch?v=PjSBkFv8kx0,oily,unknown,unknown,neutral,gingerbread 430,mostly,8,not_mentioned,no,yes,positive,False,really not that bad but i'm going to blot ... the concealer really held up the foundation ... this has officially made my top five favorites for sure
Huda Beauty FauxFilter,SilviaMBeauty,https://www.youtube.com/watch?v=pVqPhzNDnPM,combination to oily,unknown,light,neutral to warm,cheesecake,mostly,10,not_mentioned,no,not_mentioned,positive,False,the coverage of this foundation is so nice it's ridiculous it says on the website at its medium and full coverage but it this is definitely full coverage which I prefer a full coverage foundation
IT Cosmetics CC Cream,Pamela Ross,https://www.youtube.com/watch?v=hhJjwNmJFTY,acne prone,yes,tan,unknown,tan,mostly,9,no,no,yes,positive,False,I genuinely genuinely love this Foundation... it literally hasn't creased at all... it still looks really good... it doesn't make me break out more... it does have a really strong SPF... it makes my skin look so much better.
IT Cosmetics CC Cream,Alexa Likes,https://www.youtube.com/watch?v=SgS5XvliaRc,oily combination,yes,medium,unknown,medium,no,7,not_mentioned,not_mentioned,not_mentioned,mixed,False,It has started to cake around the inner fold of my nose... it was honestly too oily and yeah I couldn't walk around like that for sure for sure for sure I would need to blot a hundred percent but this is much better and it still looks like skin...
IT Cosmetics CC Cream,Maryam Maquillage,https://www.youtube.com/watch?v=Gq4SXg3OnlA,oily sensitive,yes,medium,cool,medium tan,no,8,not_mentioned,not_mentioned,yes,mixed,False,this is just too much makeup for me this is just a little bit too full coverage for my preference and although I like the coverage I like how it first looked when I first applied it to my face I can't say that I love it at the end of a day at least at the end of a beach day perhaps if I wore it with some helpers an actual primer an actual powder to set everything in place maybe I would have a different story but as is for the purpose of going to the beach and wearing a little bit more coverage this is just not for me this is a little bit too heavy a little bit too thick and greasy for my oily AF skin that is the bottom line
IT Cosmetics CC Cream,Christine Le,https://www.youtube.com/watch?v=V0rJjQ8lCL8,oily,yes,medium,neutral,neutral medium,mostly,10,not_mentioned,no,not_mentioned,positive,True,I love that my skin just looks really healthy and glowy and I feel like any regular foundation after this amount of time on my oily skin would be breaking up really greasy and oily.
IT Cosmetics CC Cream,Lavinia Rusanda,https://www.youtube.com/watch?v=B4nKsnyyCME,combination,yes,fair,unknown,Fair,mostly,12,yes,no,not_mentioned,mixed,False,"The original CC lasts about 6 to 7 hours looking really good, the Nude Glow held up nicely and stayed hydrated, Illumination also wore well with a nice glow, but the Natural Matte started to peel and crease on me."
IT Cosmetics CC Cream,Ivory Cherry,https://www.youtube.com/watch?v=MZMl6dCsU3o,combination oily,yes,tan,unknown,tan,mostly,10,not_mentioned,no,not_mentioned,positive,False,"As far as oil control at 5 hours, I feel like this foundation is doing amazing, I don't feel shiny at all and it actually looks better now than when I first finished my makeup."
Kosas Revealer,Sam Robinson,https://www.youtube.com/watch?v=z4f9Yfy_V1A,combination,unknown,light,neutral olive,Light Medium Neutral Olive 210,mostly,,not_mentioned,no,not_mentioned,positive,False,"It's giving glass skin, baby. Yes, it is."
Kosas Revealer,Thrift Thick,https://www.youtube.com/watch?v=a9jGAQPSQAo,oily,yes,light,neutral,light neutral 140,no,10,not_mentioned,not_mentioned,no,mixed,False,it has felt good overall a little greasy a little oily in my t-zone but you know i'm gonna hold out hope
Kosas Revealer,Magdaline Janet,https://www.youtube.com/watch?v=caCT4te3cpA,oily,yes,medium,neutral,medium 220 neutral,mostly,12,not_mentioned,yes,yes,positive,False,I love this foundation I think this foundation is great the only thing is that I didn't pick my correct shade so this shade is a little bit too light
Kosas Revealer,Sarah Rose,https://www.youtube.com/watch?v=f4EJEPKUfgU,normal to dry,yes,fair,neutral,very light neutral 110,mostly,11,no,no,not_mentioned,positive,True,i really haven't done a whole lot since the last check-in... i feel like it looks honestly it looks pretty similar to how it looked in my last check-in... i don't feel like i'm looking really any shinier than i was
Kosas Revealer,Tatanisha Sankar,https://www.youtube.com/watch?v=HPZCbLMdmv0,normal to dry,unknown,light,neutral,light medium neutral 200,not_tested,,not_mentioned,not_mentioned,yes,positive,False,My skin looks so glowy and dewy I'm so here for it
Kosas Revealer,Emily's Makeup Bag,https://www.youtube.com/watch?v=wnXJ0dYPoXM,combination,yes,fair,neutral,very light neutral 110,mostly,9,not_mentioned,no,not_mentioned,positive,False,So far I'm really liking how it looks on my skin
